Month,"Coal, Including Coal Coke Net Imports, CO2 Emissions (Million Metric Tons of Carbon Dioxide)","Natural Gas, Excluding Supplemental Gaseous Fuels, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Aviation Gasoline CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Distillate Fuel Oil, Excluding Biodiesel, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Hydrocarbon Gas Liquids CO2 Emissions (Million Metric Tons of Carbon Dioxide),Jet Fuel CO2 Emissions (Million Metric Tons of Carbon Dioxide),Kerosene CO2 Emissions (Million Metric Tons of Carbon Dioxide),Lubricants CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Motor Gasoline, Excluding Ethanol, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Petroleum Coke CO2 Emissions (Million Metric Tons of Carbon Dioxide),Residual Fuel Oil CO2 Emissions (Million Metric Tons of Carbon Dioxide),Other Petroleum Products CO2 Emissions (Million Metric Tons of Carbon Dioxide),"Petroleum, Excluding Biofuels, CO2 Emissions (Million Metric Tons of Carbon Dioxide)",Total Energy CO2 Emissions (Million Metric Tons of Carbon Dioxide)
2005 December,192.861,125.23,0.165,58.404,10.736,22.292,1.073,0.835,103.606,9.469,15.002,12.752,234.333,553.411
2006 January,182.181,116.863,0.092,55.71,8.56,20.372,0.975,0.825,99.26,8.486,13.664,13.885,221.829,521.884
2006 February,170.182,115.739,0.157,52.124,8.683,18.144,1.375,1.249,90.349,6.391,10.789,10.925,200.185,487.018
2006 March,173.732,114.711,0.235,58.863,8.38,19.805,1.268,0.966,101.642,8.953,11.508,11.256,222.875,512.329
2006 April,153.342,90.574,0.229,52.703,5.94,20.321,1.037,1.016,99.31,7.408,9.666,12.177,209.807,454.702
2006 May,168.759,82.231,0.234,54.559,5.83,20.732,0.613,0.867,104.007,8.418,8.585,12.825,216.669,468.67
2006 June,181.928,83.499,0.185,52.118,6.047,20.936,0.352,1.001,102.157,9.135,8.745,14.439,215.113,481.519
2006 July,200.454,94.852,0.217,52.925,5.857,21.575,0.49,0.934,107.341,8.509,9.765,11.258,218.869,515.186
2006 August,202.317,94.432,0.299,55.77,6.452,21.524,0.376,0.951,106.712,9.224,11.245,14.203,226.754,524.514
2006 September,177.118,78.648,0.192,53.69,5.747,19.756,0.335,0.801,99.567,10.369,7.615,12.31,210.38,467.125
2006 October,176.987,88.525,0.2,57.802,7.529,20.377,0.387,1.141,103.138,8.857,8.96,11.802,220.19,486.714
2006 November,172.405,95.107,0.135,54.183,8.038,19.818,0.309,0.821,99.524,9.353,7.431,12.887,212.497,480.987
2006 December,186.601,114.515,0.137,57.165,8.944,20.705,0.613,0.667,103.872,10.836,10.709,12.916,226.561,528.689
2007 January,190.079,133.532,0.178,56.593,10.316,20.516,0.666,1.054,98.36,7.531,11.109,12.52,218.84,543.442
2007 February,174.984,138.548,0.13,55.034,10.3,18.732,0.552,0.802,90.056,6.705,12.503,12.395,207.207,521.634
2007 March,171.21,114.731,0.149,57.635,8.09,19.689,0.449,1.055,101.692,9.611,10.577,12.24,221.186,508.117
2007 April,159.056,97.497,0.21,54.233,7.052,20.228,0.334,0.972,98.892,7.274,9.662,13.536,212.391,469.903
2007 May,169.645,84.012,0.188,54.102,5.842,20.541,0.177,1.096,104.567,9.457,10.104,14.051,220.123,474.771
2007 June,186.191,83.71,0.232,52.96,5.798,20.426,0.183,0.904,101.668,8.028,10.38,10.98,211.558,482.418
2007 July,198.149,89.447,0.187,53.558,5.892,21.129,0.084,1.026,106.699,7.253,9.787,12.395,218.008,506.595
2007 August,203.334,102.257,0.231,55.147,5.695,21.624,0.363,0.969,106.014,9.261,11.131,12.439,222.871,529.453
2007 September,182.172,85.596,0.173,53.551,6.582,18.831,0.392,0.858,98.993,9.073,9.541,10.291,208.285,477.012
2007 October,174.684,87.577,0.229,56.033,6.731,20.777,0.356,1.047,101.724,7.514,9.159,11.686,215.255,478.507
2007 November,172.325,98.744,0.161,52.448,7.575,19.652,0.567,0.93,98.274,7.701,10.879,12.515,210.7,482.728
2007 December,189.467,129.507,0.117,55.784,9.698,20.348,0.744,0.892,101.682,9.831,9.724,12.183,221,540.966
2008 January,193.41,147.608,0.141,55.702,10.67,20.065,0.175,0.956,94.963,8.602,9.988,12.106,213.365,555.4
2008 February,178.19,135.108,0.126,53.216,9.573,18.441,0.352,0.854,89.04,6.858,7.385,11.577,197.418,511.666
2008 March,172.72,122.849,0.168,55.284,8.736,19.702,0.326,1,97.574,8.106,8.612,9.945,209.45,506.035
2008 April,160.048,98.226,0.179,52.793,6.252,19.927,0.01,0.98,94.391,7.994,10.013,10.751,203.288,462.545
2008 May,167.701,84.826,0.206,52.232,6.312,20.181,0.084,0.995,99.091,7.822,9.854,10.68,207.455,460.999
2008 June,183.849,86.381,0.172,48.401,5.887,19.942,0.063,0.928,94.151,7.511,9.677,10.388,197.118,468.331
2008 July,199.856,92.091,0.171,49.027,6.066,19.987,-0.012,0.968,97.604,9.216,10.004,9.003,202.032,494.995
2008 August,194.973,90.653,0.193,48.64,6.392,20.807,0.034,1.093,97.355,8.086,7.477,8.668,198.746,485.387
2008 September,175.276,78.569,0.165,48.101,4.764,18.155,0.149,0.653,87.174,5.892,7.359,9.836,182.247,437.076
2008 October,165.97,87.982,0.129,55.559,7.292,17.989,0.126,1.015,95.896,8.01,8.733,12.23,206.978,461.946
2008 November,166.117,100.667,0.156,49.788,7.757,17.688,0.25,0.613,91.623,7.286,7.377,11.974,194.51,462.277
2008 December,180.584,129.562,0.149,50.289,8.84,17.709,0.602,0.722,94.729,8.612,11.017,12.65,205.317,516.478
2009 January,181.291,147.269,0.145,53.98,9.295,16.661,0.562,0.837,92.127,7.351,11.127,11.649,203.733,533.28
2009 February,150.946,125.743,0.101,45.89,8.1,15.551,0.467,0.602,85.578,6.631,5.918,10.129,178.965,456.546
2009 March,146.645,116.938,0.151,49.541,7.86,17.848,0.209,0.781,95.293,7.271,8.649,8.768,196.369,460.94
2009 April,135.374,93.676,0.161,44.107,6.208,17.595,0.177,0.841,93.188,8.303,9.584,8.457,188.62,418.626
2009 May,141.493,80.867,0.137,45.297,5.125,16.873,0.182,0.704,96.573,8.631,6.344,9.071,188.935,412.282
2009 June,157.48,82.173,0.185,44.796,4.981,17.5,0.14,0.838,94.48,8.916,8.01,8.105,187.951,428.559
2009 July,167.302,89.253,0.202,44.616,5.393,19.122,0.017,0.849,98.333,6.397,4.662,10.338,189.926,447.469
2009 August,172.066,93.48,0.168,45.046,5.956,18.392,0.076,0.959,98.697,7.033,6.91,9.044,192.279,458.813
2009 September,148.107,84.679,0.194,45.261,5.872,17.376,-0.056,0.835,91.578,7.842,4.812,10.09,183.803,417.544
2009 October,150.417,89.552,0.122,47.941,7.688,17.294,0.274,0.855,95.129,5.662,7.239,9.088,191.292,432.249
2009 November,147.792,95.468,0.103,45.544,9.025,16.612,0.268,0.789,91.069,5.924,6.297,7.473,183.102,427.317
2009 December,176.248,134.292,0.168,50.723,10.459,17.414,0.34,0.797,94.502,6.639,8.513,8.965,198.518,510.046
2010 January,182.066,151.157,0.105,49.046,10.508,17.059,0.189,0.81,89.298,4.925,8.975,9.079,189.995,524.186
2010 February,163.374,133.401,0.1,45.959,8.904,15.399,0.4,0.86,81.052,5.531,6.79,8.769,173.763,471.414
2010 March,156.623,115.016,0.152,50.613,7.772,18.32,0.147,0.959,92.166,7.775,7.751,10.755,196.411,469.018
2010 April,138.249,90.637,0.181,47.946,5.77,17.319,0.083,0.889,92.36,6.809,8.332,10.911,190.601,420.424
2010 May,154.878,86.564,0.162,48.02,5.459,18.357,0.138,0.892,95.898,6.206,7.576,10.47,193.177,435.588
2010 June,176.156,88.358,0.188,47.831,5.092,18.962,0.193,1.044,94.077,7.287,7.065,10.173,191.912,457.362
2010 July,190.314,97.907,0.211,46.744,5.284,18.964,0.244,0.982,97.273,7.052,8.693,9.794,195.242,484.432
2010 August,190.135,100.788,0.152,50.572,5.585,18.865,0.121,0.9,96.778,7.922,6.956,10.898,198.749,490.64
2010 September,161.817,87.688,0.214,49.613,5.576,17.899,0.099,0.918,92.258,7.656,7.244,9.842,191.319,441.761
2010 October,145.096,89.142,0.163,49.823,6.461,18.151,0.189,0.887,94.078,6.123,7.133,8.956,191.963,427.169
2010 November,148.654,105.838,0.116,49.586,7.584,17.158,0.573,0.839,88.885,6.879,7.79,9.17,188.58,444.009
2010 December,178.577,145.942,0.127,55.222,10.115,17.564,0.642,0.783,92.872,6.785,7.666,10.292,202.069,527.556
2011 January,179.789,155.278,0.123,52.27,9.263,17.095,0.24,0.862,87.386,6.647,8.488,10.829,193.204,529.267
2011 February,148.845,131.744,0.135,46.607,8.438,15.509,0.576,0.759,80.845,4.881,7.459,7.768,172.976,454.464
2011 March,147.649,119.635,0.191,53.222,7.422,17.579,0.34,1.042,91.82,6.401,6.74,11.519,196.276,464.555
2011 April,135.652,97.736,0.109,47.586,5.716,17.904,0.105,0.918,88.971,6.306,6.734,9.797,184.145,418.497
2011 May,148.133,89.191,0.196,48.41,5.268,18.076,0.003,0.848,91.824,7.587,6.821,8.153,187.186,425.506
2011 June,167.57,88.707,0.176,49.917,4.685,18.923,0.054,0.843,91.188,6.735,6.764,8.606,187.891,445.132
2011 July,185.729,101.341,0.2,46.488,4.606,18.704,0.115,0.825,94.507,6.767,4.795,11.12,188.128,476.194
2011 August,182.866,101.39,0.199,52.289,5.19,19.735,0.07,0.953,92.654,8.455,5.069,10.405,195.019,480.27
2011 September,153.977,88.589,0.133,49.538,5.217,17.401,0.095,0.842,88.335,6.211,6.927,10.078,184.777,428.306
2011 October,140.772,93.34,0.172,52.221,6.476,17.569,0.026,0.714,90.037,7.225,5.904,9.436,189.781,424.888
2011 November,135.892,108.898,0.123,51.687,7.513,17.404,0.072,0.836,85.934,6.662,5.91,10.595,186.737,432.489
2011 December,148.729,136.481,0.113,50.023,8.786,17.176,0.156,0.771,90.246,4.23,7.576,9.751,188.828,475.034
2012 January,142.417,148.325,0.133,50.764,8.747,16.607,0.071,0.845,85.277,7.395,6.601,9.057,185.498,477.242
2012 February,127.804,134.53,0.111,48.052,7.417,16.044,0.325,0.904,83.654,5.237,5.369,9.737,176.85,440.122
2012 March,118.334,114.261,0.152,48.381,6.201,17.536,0.088,0.768,89.201,5.799,6.018,9.642,183.787,417.385
2012 April,107.216,104.823,0.148,46.817,5.579,16.591,0.025,0.842,87.934,6.098,5.981,7.687,177.702,390.711
2012 May,127.076,100.505,0.182,48.86,5.299,17.884,0.103,0.849,93.315,7.042,4.631,7.951,186.114,414.698
2012 June,142.666,100.234,0.137,46.92,4.538,18.999,0.024,0.725,90.44,6.815,5.15,9.891,183.639,427.51
2012 July,170.138,111.14,0.217,46.347,4.997,18.642,0.002,0.746,91.751,6.312,6.69,9.506,185.21,467.491
2012 August,163.514,107.809,0.145,48.763,5.226,18.667,0.004,0.764,95.078,7.519,5.857,9.448,191.47,463.795
2012 September,138.507,96.89,0.153,46.428,4.934,16.928,0.055,0.715,86.253,6.624,5.315,7.637,175.041,411.408
2012 October,133.439,101.945,0.155,50.449,6.665,17.177,0.038,0.782,90.263,5.662,4.54,10.833,186.564,422.951
2012 November,140.071,116.444,0.107,48.693,7.288,16.969,0.04,0.816,85.402,6.688,4.57,10.636,181.21,438.695
2012 December,146.691,134.655,0.098,46.285,8.389,17.534,0.028,0.642,87.216,6.695,2.859,12.118,181.864,464.212
2013 January,149.821,155.368,0.119,53.19,9.436,16.644,0.14,0.886,86.386,7.415,4.978,8.871,188.064,494.229
2013 February,134.977,138.506,0.079,46.93,8.26,15.409,0.026,0.801,78.536,4.679,3.923,9.13,167.773,442.136
2013 March,140.989,135.918,0.125,48.939,8.466,17.689,0.193,0.882,89.427,5.366,6.431,8.434,185.953,463.834
2013 April,122.846,105.853,0.123,48.374,6.566,17.74,0.059,0.759,88.633,4.76,3.845,8.972,179.832,409.474
2013 May,130.276,94.138,0.162,48.576,5.478,18.526,0.015,0.894,93.461,7.297,3.559,10.773,188.74,414.128
2013 June,148.667,93.671,0.156,45.601,5.308,17.863,0.01,0.951,90.731,7.173,4.052,9.197,181.042,424.322
2013 July,163.658,103.616,0.175,46.654,5.002,19.631,0.013,0.85,94.82,6.879,5.308,11.762,191.092,459.341
2013 August,161.652,103.645,0.148,47.432,5.263,19.35,0.01,0.839,94.595,7.383,5.978,8.916,189.914,456.186
2013 September,144.811,94.953,0.111,46.107,6.053,17.406,0.049,0.804,89.546,7.16,5.237,11.642,184.113,424.821
2013 October,133.705,100.325,0.121,51.609,6.806,18.475,0.018,0.808,92.439,5.803,3.907,9.853,189.841,424.846
2013 November,132.748,124.792,0.152,48.22,8.456,17.559,0.004,0.671,89.324,6.981,5.106,11.186,187.658,446.141
2013 December,153.696,157.596,0.076,49.549,9.727,18.136,0.249,0.798,89.488,5.673,2.476,10.893,187.065,499.333
2014 January,165.992,173.735,0.104,56.539,10.807,17.323,0.237,0.729,85.398,8.283,4.742,8.021,192.183,532.891
2014 February,152.089,148.536,0.065,48.904,8.702,15.831,0.058,0.651,80.597,5.129,3.14,8.838,171.913,473.424
2014 March,145.136,138.44,0.128,52.58,8.045,18.196,0.03,1.01,90.021,3.381,2.634,9.017,185.043,469.599
2014 April,118.302,105.908,0.121,50.007,6.179,17.882,0.024,0.885,89.556,5.921,3.946,10.281,184.802,409.962
2014 May,129.285,97.64,0.142,51.08,5.013,17.779,0.025,0.902,93.2,6.948,3.294,9.758,188.141,416.047
2014 June,148.407,94.12,0.115,48.638,5.363,18.965,0.02,0.791,90.285,6.428,3.596,8.56,182.762,426.237
2014 July,161.861,101.482,0.189,49.929,5.012,19.791,0.151,0.958,95.561,7.802,3.698,9.41,192.502,456.826
2014 August,160.916,104.313,0.148,49.741,5.684,19.327,0.018,0.892,96.289,6.536,3.182,9.412,191.231,457.442
2014 September,138.659,97.598,0.121,48.927,5.997,18.207,0.229,0.972,88.182,7.535,3.932,10.799,184.901,422.107
2014 October,124.412,103.228,0.123,55.129,7.038,18.784,0.207,0.881,94.414,6.829,3.593,9.844,196.841,425.462
2014 November,131.167,127.501,0.111,48.851,8.587,18.137,0.078,0.925,89.042,7.297,4.794,9.572,187.396,447.013
2014 December,137.141,145.036,0.133,53.857,9.406,19.519,0.285,0.774,92.273,5.018,3.688,8.721,193.673,476.831
2015 January,142.702,169.461,0.086,54.868,10.164,17.461,0.032,1.065,89.171,7.602,4.297,8.591,193.336,506.475
2015 February,134.174,159.167,0.082,53.539,9.345,16.574,0.103,0.771,82.169,3.709,2.571,9.045,177.909,472.131
2015 March,118.251,140.804,0.095,52.841,8.434,19.656,0.144,1.059,93.447,7.089,3.846,9.077,195.689,455.72
2015 April,98.996,108.871,0.149,50.253,6.509,18.759,0.008,0.999,91.925,6.87,2.431,9.25,187.155,395.965
2015 May,114.983,100.644,0.145,48.491,5.801,19.289,0.262,1.107,95.41,7.214,3.429,11.806,192.954,409.556
2015 June,136.839,102.991,0.13,48.13,5.754,20.323,0.005,0.886,93.916,7.415,2.833,10.927,190.32,431.093
2015 July,151.013,112.154,0.192,50.021,5.847,20.955,0.011,1.089,97.675,7.521,4.754,11.462,199.527,463.67
2015 August,145.63,111.32,0.118,50.114,6.168,20.332,0.02,0.845,97.52,7.749,4.353,9.676,196.895,454.82
2015 September,128.772,103.059,0.115,50.326,5.279,18.848,0.008,0.858,92.59,5.159,3.779,8.827,185.789,418.565
2015 October,108.582,107.722,0.15,51.646,6.976,20.491,0.037,1.01,95.365,6.191,3.451,7.189,192.507,409.786
2015 November,99.696,122.072,0.097,46.636,7.167,18.722,0.016,0.701,90.802,5.574,4.249,9.453,183.418,406.129
2015 December,102.261,140.619,0.102,49.271,8.74,20.036,0.32,0.902,94.41,5.328,4.627,10.563,194.299,438.155
2016 January,123.506,168.248,0.08,49.802,10.087,18.401,0.025,0.945,89.296,7.173,4.475,9.838,190.121,482.862
2016 February,102.649,144.227,0.109,48.208,8.262,18.224,0.027,0.962,88.862,6.375,2.502,12.323,185.855,433.655
2016 March,83.219,127.936,0.104,50.775,7.616,19.636,0.134,0.993,96.673,6.876,5.277,9.669,197.753,409.895
2016 April,80.832,113.052,0.15,47.084,6.313,19.243,0.042,0.883,91.729,5.371,6.345,10.587,187.747,382.586
2016 May,91.813,106.555,0.121,47.453,5.819,20.033,0.101,0.92,97.081,5.214,4.723,9.297,190.764,390.118
2016 June,125.26,108.49,0.127,47.471,5.126,21.166,0.127,0.982,95.765,4.514,4.777,10.044,190.099,424.803
2016 July,145.291,118.617,0.13,45.336,5.487,21.838,0.137,0.798,98.695,6.097,6.196,9.406,194.119,459.014
2016 August,144.396,119.793,0.152,48.969,5.208,21.86,0.009,0.862,99.809,8.256,4.641,11.651,201.419,466.594
2016 September,123.31,105.57,0.113,47.881,5.749,20.092,0.172,0.844,94.641,5.214,3.574,10.218,188.497,418.332
2016 October,109.129,104.328,0.105,50.594,6.864,20.436,0.244,0.916,93.599,5.875,4.973,10.927,194.532,408.976
2016 November,97.179,117.168,0.12,48.202,7.127,20.057,0.025,0.815,91.944,8.858,4.316,9.187,190.651,405.953
2016 December,128.616,155.867,0.104,51.285,9.386,20.986,0.273,0.803,95.422,7.203,4.468,10.75,200.68,486.15
2017 January,124.73,158.281,0.101,48.267,10.061,20.166,0.306,0.945,87.538,7.951,7.888,10.029,193.253,477.207
2017 February,96.549,126.987,0.09,45.77,7.375,17.397,0.1,0.803,83.912,3.931,3.686,9.276,172.342,396.73
2017 March,98.28,136.906,0.11,52.95,8.341,21.278,0.03,0.997,96.246,3.428,4.666,11.529,199.574,435.702
2017 April,89.637,104.589,0.112,46.402,6.648,20.194,0.03,0.861,92.727,5.355,3.995,11.978,188.3,383.438
2017 May,101.733,102.359,0.126,50.133,6.01,21.189,0.037,0.913,98.415,6.557,5.209,10.692,199.281,404.315
2017 June,115.847,103.37,0.174,48.558,5.167,21.647,0.019,0.807,97.391,5.11,4.939,11.842,195.654,415.783
2017 July,136.263,116.017,0.137,46.193,5.876,22.011,0.007,0.807,99.021,8.554,4.191,11.308,198.105,451.327
2017 August,128.799,113.379,0.148,50.839,5.298,22.37,0.012,0.641,100.46,5.578,5.06,10.762,201.167,444.287
2017 September,108.59,103.895,0.102,48.384,5.727,19.988,0.175,0.771,93.458,6.36,4.269,10.162,189.396,402.793
2017 October,100.003,109.929,0.103,51.301,6.939,22.233,0.017,0.856,96.326,3.31,4.719,11.213,197.017,407.891
2017 November,101.805,127.762,0.112,51.543,8.149,20.707,0.041,0.825,90.487,7.244,5.574,10.661,195.343,425.821
2017 December,115.717,167.492,0.134,50.864,9.894,22.289,0.011,0.657,95.269,7.281,4.59,11.011,202,486.152
2018 January,126.532,180.91,0.103,58.256,11.718,19.909,0.449,0.734,90.2,6.411,4.728,11.185,203.693,512.079
2018 February,91.889,146.563,0.069,46.34,9.193,18.23,0.034,0.846,81.927,3.399,3.944,11.474,175.457,414.76
2018 March,89.843,151.159,0.141,53.823,9.227,21.659,0.076,0.92,97.751,5.522,3.446,12.391,204.956,446.9
2018 April,82.481,126.789,0.13,51.353,7.659,20.023,0.037,0.821,92.045,5.559,5.773,9.336,192.737,402.919
2018 May,94.877,110.606,0.133,53.954,6.006,21.388,0.098,0.715,97.736,5.76,4.319,10.127,200.237,406.662
2018 June,110.478,111.111,0.152,48.938,5.549,22.816,0.021,0.884,97.783,6.463,3.961,11.495,198.061,420.562
2018 July,124.677,126.806,0.176,50.771,6.454,22.512,0.029,0.891,99.285,6.103,5.059,10.112,201.393,453.819
2018 August,124.558,124.783,0.16,53.661,6.665,23.586,0.028,0.934,100.584,8.309,4.271,10.727,208.926,459.209
2018 September,106.823,116.161,0.099,49.808,6.752,20.932,0.005,0.668,91.461,7.339,4.932,8.327,190.322,414.218
2018 October,97.082,123.171,0.176,55.806,7.933,21.266,0.013,0.748,95.62,7.811,3.996,11.378,204.745,425.941
2018 November,102.997,146.685,0.077,52.195,9.798,21.577,0.016,0.793,92.537,4.945,4.842,10.625,197.405,447.999
2018 December,110.318,162.163,0.133,51.551,10.8,21.285,0.012,0.636,94.471,5.091,5.367,9.969,199.316,472.739
2019 January,110.185,185.788,0.093,55.977,12.723,20.581,0.334,0.791,90.588,5.575,4.661,11.364,202.686,499.589
2019 February,90.424,163.767,0.086,50.16,10.755,18.425,0.198,0.658,84.056,2.2,3.687,7.397,177.621,432.652
2019 March,89.001,158.607,0.136,53.748,9.961,21.728,0.006,0.677,94.662,5.582,3.232,10.153,199.884,448.421
2019 April,68.856,119.503,0.124,51.155,7.583,21.572,0.021,1.052,93.915,4.298,2.504,11.619,193.842,383.101
2019 May,81.187,115.171,0.162,52.641,7.075,22.512,0.018,0.742,97.555,6.057,2.806,12.115,201.683,398.972
2019 June,88.734,114.44,0.163,49.483,6.666,22.137,0.01,0.704,96.572,7.363,4.555,10.125,197.778,401.852
2019 July,109.524,129.447,0.185,50.003,7.262,23.45,0.011,0.899,98.125,7.652,4.996,9.943,202.525,442.427
2019 August,103.282,131.566,0.139,51.646,7.131,23.38,0.001,0.8,101.512,6.368,4.809,12.193,207.978,443.756
2019 September,93.719,119.161,0.156,48.693,7.568,20.918,0.07,0.65,91.677,4.819,4.308,11.052,189.91,403.69
2019 October,76.449,124.592,0.151,54.419,8.788,21.924,0.028,0.908,95.58,4.377,4.659,11.665,202.499,404.47
2019 November,84.259,150.716,0.13,52.501,10.309,21.022,0.152,0.71,91.375,6.329,2.947,11.36,196.835,432.71
2019 December,81.899,171.867,0.092,50.4,11.377,22.971,0.178,0.656,92.061,6.859,4.151,11.817,200.561,455.258
2020 January,75.091,179.989,0.129,51.91,10.713,21.238,0.317,0.875,89.515,4.765,3.482,11.239,194.182,450.192
2020 February,66.453,165.753,0.077,49.045,9.41,19.23,0.347,0.71,87.248,4.526,2.571,11.973,185.138,418.213
2020 March,60.738,147.28,0.124,50.924,9.803,17.619,0.066,0.558,80.465,4.786,1.332,12.986,178.664,387.613
2020 April,49.481,121.968,0.067,43.667,6.854,8.331,0.031,0.573,58.836,3.464,1.051,9.98,132.855,305.204
2020 May,54.951,111.815,0.146,44.088,7.075,7.58,0.002,0.577,73.905,4.2,0.895,11.303,149.771,317.467
2020 June,73.194,114.894,0.12,43.189,6.348,9.634,0.012,0.689,82.169,4.13,2.95,9.514,158.756,347.744
2020 July,96.691,133.205,0.137,46.006,6.66,12.285,0.001,0.781,87.013,5.004,5.055,9.99,172.932,403.757
2020 August,98.066,129.623,0.121,46.83,7.091,12.895,0.12,0.662,87.791,6.898,4.47,10.329,177.207,405.826
2020 September,76.737,116.029,0.128,47.083,7.616,11.317,0.094,0.707,84.983,5.647,4.557,8.06,170.192,363.857
2020 October,68.753,124.978,0.127,51.746,9.198,12.769,0.033,0.772,85.803,4.132,3.723,8.123,176.427,371.087
2020 November,69.544,131.897,0.117,48.091,10.272,13.879,0.013,0.699,79.295,5.646,2.937,9.289,170.238,372.578
2020 December,86.495,172.391,0.104,49.666,12.967,14.58,0.103,0.793,80.424,4.829,2.84,10.193,176.499,436.315
2021 January,90.112,180.773,0.124,51.5,13.277,14.36,0.094,0.797,79.659,5.088,3.612,9.15,177.662,449.48
2021 February,94.589,167.947,0.053,46.888,9.948,12.463,0.403,0.691,72.739,2.627,3.361,7.917,157.09,420.468
2021 March,71.094,142.71,0.099,53.251,9.833,14.602,0.03,0.676,87.787,4.863,4.094,10.69,185.927,400.663
2021 April,62.061,122.543,0.158,51.105,8.217,15.875,0.063,0.727,88.179,3.741,1.955,13.292,183.312,368.818
2021 May,72.402,114.027,0.099,50.925,8.108,16.4,0.01,0.747,93.161,6.514,3.845,10.071,189.88,377.241
2021 June,94.433,120.947,0.177,49.838,7.58,17.522,0.001,0.762,93.073,5.593,4.899,8.981,188.428,404.71
2021 July,110.08,130.456,0.114,47.939,7.797,19.062,0.013,0.761,95.492,4.293,5.126,9.55,190.147,431.615
2021 August,109.627,131.531,0.166,52.045,8.018,19.851,0.028,0.674,94.443,6.46,5.024,8.955,195.664,437.754
2021 September,87.816,115.183,0.15,50.893,7.769,18.244,0.026,0.631,88.885,5.001,4.825,9.133,185.557,389.459
2021 October,72.7,121.806,0.126,51.895,8.488,18.623,0.159,0.722,92.413,4.529,5.214,11.351,193.519,388.957
2021 November,67.273,144.885,0.108,53.057,9.753,18.517,0.058,0.753,89.497,4.928,5.796,8.26,190.728,403.788
2021 December,70.34,162.407,0.115,51.63,11.544,19.266,0.014,0.671,91.205,6.409,6.313,8.703,195.87,429.549
2022 January,95.832,194.475,0.079,53.437,12.752,18.066,0.208,0.801,81.954,4.973,4.881,10.132,187.283,478.522
2022 February,79.927,165.666,0.11,49.387,11.241,16.077,0.027,0.704,79.939,3.372,4.79,10.508,176.156,422.591
2022 March,69.794,150.21,0.155,54.389,9.852,19.338,0.012,0.922,90.942,4.855,6.368,11.11,197.944,418.88
2022 April,62.981,127.649,0.13,48.094,8.931,18.889,0.021,0.832,87.057,4.79,4.302,10.696,183.741,375.273
2022 May,70.194,120.814,0.093,50.586,7.385,19.984,0.015,0.667,93.598,3.904,5.015,9.379,190.625,382.566
2022 June,82.845,125.084,0.174,50.491,7.626,20.978,0.03,0.913,90.538,4.213,4.064,10.218,189.245,398.076
2022 July,96.848,139.454,0.098,48.561,8.01,20.296,0.058,0.492,89.862,6.929,4.781,11.559,190.648,427.882
2022 August,94.71,138.14,0.198,50.546,7.843,20.95,0.012,0.933,93.063,5.605,5.407,11.816,196.371,430.153
2022 September,74.522,123.455,0.12,50.665,7.949,18.98,0.038,0.648,87.797,5.031,6.558,11.225,189.01,387.889
2022 October,64.488,127.594,0.127,53.574,9.678,19.347,0.076,0.803,90.361,3.678,4.116,11.076,192.836,385.849
2022 November,66.014,149.986,0.137,51.368,10.101,19.74,0.003,0.739,87.783,5.403,4.95,10.984,191.208,408.11
2022 December,82.61,183.351,0.119,48.582,11.231,20.326,0.074,0.71,88.043,4.258,3.808,10.047,187.197,454.091